discharge_number,energy_Wh,average_power_W,maximum_power_W,minimum_power_W,minimum_voltage_V,maximum_voltage_V,maximum_temperature_C
1,6.6087781949284645,6.4632035782940935,7.999540295448557,0.0007204820109987193,2.612467347907089,4.191491807505295,38.98218133148803
2,6.586345150397566,6.47261196803546,8.01662409619995,8.903762393395971e-05,2.587208728940726,4.189773213846608,39.033397966787035
3,6.555683334957384,6.476840373944161,8.02159650145103,0.0003492491038423405,2.6519168938437794,4.188186735991303,38.818796689817404
4,6.5548286069376,6.509010349406403,8.009677053833263,0.00014356154051890562,2.592947964776547,4.188461118855572,38.7623045063458
5,6.552231972609875,6.5102405373451955,8.020337120970723,3.053362831617426e-05,2.547419651124539,4.188298524761055,38.66539257343368
6,6.557494548054203,6.47930923440532,8.017807808159468,2.9641302206279315e-05,2.5209480504077413,4.188815807948604,38.75169504640032
7,6.557049661436373,6.48048355519179,8.032256573878646,0.0002961036339070557,2.487927319492314,4.18839163793879,38.8207012322275
8,6.535167110927523,6.589849808804335,8.02185752407804,0.0008631045073838764,2.6652049047458775,4.188927891511958,38.51713023385634
9,6.5291073135895505,6.621885371651223,8.021052927126735,0.0019389914302139768,2.6038584726333673,4.189029250882121,38.526267904657
10,6.526577749922872,6.618774596469597,8.02662527615058,0.00015604393737850622,2.552853984885676,4.189223427076418,38.52698128472781
11,6.5224730397045345,6.649558123339849,8.01912489715708,0.0007587805027272423,2.4724483018527317,4.188916055911241,38.54143406601644
12,6.497483643883568,6.695832461852113,8.031478424157507,0.0006549511112914562,2.64956413267546,4.189876247266316,38.52197451768004
13,6.491853045269893,6.72654584784805,8.017710632392506,0.0015091627270690578,2.5724981777366227,4.189286794768804,38.582485834057856
14,6.487114428498572,6.722629717898331,8.026928002084034,0.0007155853957643176,2.5249886697730286,4.188837765892728,38.520294134873915
15,6.456673528229404,6.728012948680048,8.016904736944536,0.00012516098056599207,2.694621861688723,4.189110301768517,38.21358592965045
16,6.451147555097534,6.761453441563162,8.021713074593542,0.0005617467215076972,2.64010141737067,4.18921207304098,38.1983618706913
17,6.449580251029462,6.795517762374365,8.030824726649657,0.0005113790949133664,2.5739035098380962,4.188899969428112,38.31926916027133
18,6.4472058652048485,6.829234822297298,8.028879112577618,0.0013673661151607504,2.4942396831720126,4.188779799856791,38.4787542519308
19,6.444197257048334,6.826892465220932,8.029650030672132,0.0003182575429822531,2.4556793246645583,4.189272591516219,38.54659017774874
20,6.611240878678175,6.629801301147041,8.024513679928061,0.00011542679881491737,2.632142800798914,4.187614060563439,38.44749852224995
21,6.611161010084513,6.697785341423938,8.010194948624521,0.00012551518260974493,2.5027764692056795,4.1876287811083985,38.992275791716615
22,6.574821168404174,6.697809763320808,8.021340956304742,0.001288657245526844,2.617507742871704,4.187447226312926,38.51424197364312
23,6.539641286548478,6.733348350966108,8.021840241755182,0.000455852644969092,2.694074478000972,4.187344026387161,38.165816144899125
24,6.532620983797102,6.693232702740048,8.021456188236606,0.0007957629570880088,2.6237674644021887,4.187438187636325,38.16526203587147
25,6.527920631813516,6.832255483079134,8.019597957764123,0.0008234295914810651,2.5010798299873738,4.18774138117799,38.27549578575718
26,6.495263190740645,6.802122377734491,8.02263926667749,0.00021839004992538956,2.6849988185249796,4.188261122540052,37.982160799183106
27,6.489442748159886,6.830274585472465,8.018803173204809,0.0004963553105264998,2.547109116468133,4.187338767288234,38.11100191887773
28,6.482180288608384,6.826476707515011,8.023842079442435,9.796819946259619e-05,2.471314764334132,4.187560306288175,38.18831137948753
29,6.451556870936514,6.796596639594283,8.020222632894868,2.105766384274456e-05,2.6613903306108773,4.18805176248713,37.998541119085836
30,6.449409259843297,6.826858306685601,8.028773753027894,0.0012181462446915245,2.541762355407921,4.187667484260542,38.194201649765226
31,6.6214238417618985,6.857390836710793,8.06013253565991,0.00016368089732384991,2.628919415830567,4.2010701773378685,38.45796400011448
32,6.550749752385637,6.895459269597522,8.080186330056767,0.0005940865674766583,2.6312552691827045,4.1996223345495824,38.49126351534004
33,6.510886361026922,6.891951048260934,8.062666591838973,0.0006425054900265975,2.654880745360911,4.199853323702163,38.31473393357882
34,6.469268383163047,6.866777796490053,8.061917143682537,0.0004951757502302108,2.6749688422803803,4.199103467081427,37.861934640176806
35,6.448258261024923,6.880511822437924,8.065567061663153,0.0011021290318552319,2.6159705726789904,4.199998536865001,37.90665575786083
36,6.434013039595092,6.866073409345635,8.068603074609106,0.0005388194253844032,2.658447162110498,4.19967522099872,38.34003238560517
37,6.393192582022831,6.842461082466424,8.068008961128665,0.00034341450325145445,2.6979426084271156,4.1991847248803165,38.0745950590744
38,6.36913041109019,6.855631992287515,8.068017402699052,0.0002310290169913966,2.6617272246516333,4.200012480335,38.07252758016199
39,6.332119975253013,6.833068359634159,8.06651768155854,0.0008994328164086122,2.699288287625812,4.1992373656547874,37.80133585100446
40,6.327977828305635,6.849170314749957,8.064192952577228,6.468253168682228e-05,2.6127932408838532,4.1993957811187075,38.39873985476869
41,6.314847281055934,6.834364002753967,8.065768133485529,0.00043955788930603407,2.6637064901468075,4.1995786980260705,38.74929237918251
42,6.2948122663658,6.832819135172621,8.062393181540374,0.0013209703555137637,2.6668454289754746,4.199546957512695,38.87275464755104
43,6.312622563983889,6.813263728269927,8.026707983383412,0.00037501901210927114,2.684431051981017,4.194091469340824,38.503541429116005
44,6.290405274839963,6.826369281103449,8.06792228667438,0.001200127096186111,2.645224362345869,4.200715235801255,38.27009094548294
45,6.246148229446523,6.818122618876961,8.060078930528752,0.0009405400643898404,2.6603527244917,4.1990980807180325,38.11684755251712
46,6.210316132444617,6.816625129168319,8.071104232235502,0.0014041107558361435,2.6926849789916263,4.199398534411534,38.04152715355532
47,6.1861677464656495,6.811013996308401,8.060918466069733,0.0002501163923183093,2.670544734728978,4.199122915612965,38.17980302242767
48,6.412408120460117,6.921217051190698,8.064242931318287,1.9731401202101402e-05,2.605158060541757,4.190409478081396,40.71218198711114
49,6.379642018495001,6.885599162448458,8.06854842380987,0.0013045810991065214,2.672012007453096,4.199933846791869,39.885261233152924
50,6.314810424724099,6.87354561138607,8.077304472630962,8.3317517929099e-05,2.674271233724938,4.199365021329158,39.18287352945846
51,6.270513450066385,6.863369123676514,8.060393367884938,0.001149848669258961,2.6309416727017187,4.19902365945384,38.951564804030774
52,6.231290262218774,6.838935687560372,8.057102430734089,0.0007721956932653565,2.6629725743154204,4.199432142144215,38.607510759873634
53,6.208654358182036,6.834046061848448,8.057600540020863,0.00040507901409225425,2.612942119873717,4.199640922827531,38.920359903369054
54,6.190266778442878,6.814379695841215,8.060058418625795,0.0008614017036615299,2.6157198442661476,4.199305653118061,39.23273115358871
55,6.150496704395597,6.7885541998782575,8.05537666595573,0.00010509901754955417,2.6287695472774453,4.198949734540481,38.964927068400804
56,6.111427878700762,6.764979844277629,8.05261922339197,5.4674375978175675e-05,2.6655106679421823,4.19834220599025,38.83927283461771
57,6.08900370564263,6.760397925690198,8.0542255446486,0.000694044160090898,2.650495153350403,4.198995776266302,38.82796377704433
58,6.072104140645199,6.739766111294675,8.058971955706332,0.0011433644400691378,2.643236235233877,4.19916986492694,39.14007944734004
59,6.052907268941263,6.739072575760917,8.059575296163013,0.00030556128262418554,2.656450207001938,4.199246833083063,39.349611598028886
60,6.027506290155278,6.71216869608281,8.0621284131877,0.0021614662934042275,2.626177688152069,4.1992551886401595,39.29444535878087
61,5.992186732041017,6.709018129005614,8.062075214226926,7.786586893690488e-05,2.6582230344240045,4.199610827671791,39.10487658009542
62,5.953447910182052,6.665573870323859,8.056911878240886,0.0007108343241465844,2.695100237338448,4.1994453812630566,39.0462609369598
63,5.950118755495468,6.680956433286482,8.056112807739302,9.813037889507765e-05,2.639091813583503,4.198991968341307,39.398032192832
64,5.911338927626321,6.6566865133627715,8.050009872426374,0.00032578776750526064,2.6857210282450983,4.197785116892181,39.10678394120843
65,5.89685591950186,6.63966822074087,8.064572760482147,0.0005875391948874287,2.69017866510873,4.201331130571617,39.44448954135193
66,5.870096594650038,6.628659592040798,8.056285783978495,0.00018944082925674877,2.639895313359579,4.199339974904826,39.509602016775695
