discharge_number,capacity_Ah,SOH_percent,capacity_loss_percent
1,1.8564874208181574,100.0,0.0
2,1.846327249719927,99.45272071416714,0.547279285832856
3,1.8353491942234077,98.86138595081705,1.13861404918295
4,1.8352625275821128,98.85671763794173,1.143282362058276
5,1.8346455082120419,98.82348178817772,1.1765182118222914
6,1.8356616600675495,98.87821697485944,1.1217830251405627
7,1.8351461429226603,98.85044855913476,1.1495514408652427
8,1.8257567905665537,98.34468955151549,1.6553104484845187
9,1.8247738529891333,98.29174345738105,1.7082565426189582
10,1.824613268496936,98.2830935473199,1.7169064526801034
11,1.8246195526864504,98.28343204622077,1.7165679537792304
12,1.8142019357673917,97.72228539894279,2.277714601057215
13,1.8137521577549054,97.69805803238793,2.3019419676120685
14,1.8134404914735822,97.68127007692816,2.318729923071838
15,1.8025980036306504,97.09723768751647,2.902762312483534
16,1.80210690024615,97.07078432300706,2.929215676992941
17,1.802579500826209,97.09624103091467,2.903758969085339
18,1.8030683142834096,97.12257104811376,2.8774289518862397
19,1.8027776247196041,97.1069130069902,2.8930869930098044
20,1.8470259949329193,99.49035873989017,0.5096412601098294
21,1.847417311283644,99.5114370594272,0.48856294057280264
22,1.8361774213478947,98.90599854098058,1.0940014590194223
23,1.8257807475776242,98.34597999985365,1.6540200001463372
24,1.8251136435078368,98.31004632950896,1.689953670491027
25,1.8255815042203762,98.33524772367372,1.664752276326273
26,1.8140311275083907,97.71308478400267,2.286915215997326
27,1.8147691941158939,97.75284086310275,2.2471591368972623
28,1.813969388710352,97.70975921350076,2.2902407864992473
29,1.802765665167823,97.10626880376819,2.893731196231815
30,1.804077040117352,97.17690623092355,2.8230937690764444
31,1.8518025516704486,99.74764875349146,0.2523512465085379
32,1.8307038456739428,98.61116348782737,1.388836512172634
33,1.8199041089501267,98.02943389447215,1.9705661055278485
34,1.8093079637028517,97.45867078945713,2.5413292105428655
35,1.80460990458052,97.20560906279802,2.7943909372019857
36,1.7993770651972192,96.92374130950105,3.076258690498943
37,1.7884432335370462,96.33478867036308,3.6652113296369158
38,1.7829230484252723,96.03744299218224,3.9625570078177637
39,1.7730337158018288,95.50475246530081,4.495247534699183
40,1.773037755078937,95.50497004162602,4.495029958373976
41,1.7678721106662054,95.22672175646096,4.773278243539032
42,1.7623150704093087,94.92739086983165,5.072609130168349
43,1.7676172924938447,95.21299593373234,4.787004066267656
44,1.762668359743147,94.94642085785509,5.0535791421449145
45,1.7517304870664143,94.35725054869607,5.642749451303933
46,1.7418496047960008,93.82501520146927,6.174984798530739
47,1.7360913511847138,93.51484592444021,6.485154075559793
48,1.7936240148573608,96.61385230754256,3.3861476924574383
49,1.7831890223273275,96.05176972012408,3.9482302798759195
50,1.7673642076278957,95.19936347583841,4.800636524161579
51,1.7570177850353066,94.64205172265511,5.357948277344879
52,1.7468706179837907,94.09547290193551,5.904527098064493
53,1.7417172507457144,93.81788592880078,6.182114071199234
54,1.7364225056478186,93.53268361401415,6.467316385985851
55,1.7263217239235826,92.988603346571,7.011396653429008
56,1.7158065389330133,92.42220117908766,7.577798820912335
57,1.710533351135192,92.13816005181208,7.8618399481879235
58,1.706014499648521,91.89475137389712,8.105248626102881
59,1.7003110272642588,91.58753289666399,8.412467103336011
60,1.6945798601797895,91.27882263985312,8.721177360146886
61,1.6849029086609286,90.75757205607074,9.24242794392925
62,1.6744741591159717,90.19582574806932,9.804174251930675
63,1.6745692479879102,90.2009477257823,9.799052274217704
64,1.663716375981405,89.6163559916933,10.383644008306707
65,1.659013868748246,89.3630546668135,10.636945333186496
66,1.6538540573335014,89.08512057704355,10.91487942295645
67,1.642653782130131,88.48181591266643,11.51818408733357
68,1.6378578430223698,88.22348186450748,11.776518135492518
69,1.6327350407099108,87.94754127611387,12.05245872388613
70,1.6277528915533617,87.67917699307695,12.320823006923042
71,1.622125485521159,87.37605584239753,12.623944157602457
72,1.6113256603765849,86.79432148624366,13.205678513756336
73,1.6065631397488385,86.53778753000239,13.462212469997608
74,1.6015142233917594,86.26582682073705,13.734173179262957
75,1.590369231400328,85.66549999565574,14.334500004344264
76,1.5857889968242211,85.4187849075412,14.581215092458798
77,1.5849430707374117,85.37321895986369,14.626781040136304
78,1.5955263892495937,85.94329115068511,14.056708849314894
79,1.5747301747801037,84.82309964083233,15.17690035916768
80,1.5649019950937946,84.29370312695895,15.706296873041058
81,1.5597659473370362,84.01704907053151,15.982950929468487
82,1.5594815668184234,84.00173086716403,15.998269132835977
83,1.55468935359061,83.74359751414073,16.25640248585927
84,1.5488741079890418,83.43035835418966,16.569641645810336
